"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 12:00:02 WAT 2023","Fri Aug 11 12:00:03 WAT 2023","324","Contact management","Lists","","","","Create a list",""
"passed","Fri Aug 11 12:00:05 WAT 2023","Fri Aug 11 12:00:05 WAT 2023","288","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Aug 11 11:59:38 WAT 2023","Fri Aug 11 11:59:38 WAT 2023","293","Sales CRM","Companies","","","","Get a company",""
"failed","Fri Aug 11 12:00:06 WAT 2023","Fri Aug 11 12:00:07 WAT 2023","287","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Fri Aug 11 12:00:19 WAT 2023","Fri Aug 11 12:00:19 WAT 2023","269","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Aug 11 12:00:01 WAT 2023","Fri Aug 11 12:00:02 WAT 2023","258","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Fri Aug 11 11:59:44 WAT 2023","Fri Aug 11 11:59:44 WAT 2023","277","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Aug 11 11:59:47 WAT 2023","Fri Aug 11 11:59:47 WAT 2023","282","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Fri Aug 11 12:00:12 WAT 2023","Fri Aug 11 12:00:13 WAT 2023","278","Transactional","Logs","","","","Delete hardbounces",""
"passed","Fri Aug 11 12:00:20 WAT 2023","Fri Aug 11 12:00:20 WAT 2023","498","Account","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Fri Aug 11 11:59:40 WAT 2023","Fri Aug 11 11:59:41 WAT 2023","341","Sales CRM","Deals","","","","Get a deal",""
"passed","Fri Aug 11 12:00:03 WAT 2023","Fri Aug 11 12:00:03 WAT 2023","265","Contact management","Lists","","","","Add existing contacts to a list",""
